"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.153397500E0,8.746268600E-2,-1.246979833E-2,1.312439609E-2,8.931666746E-2
1.163354500E0,5.780678615E-2,-1.837083139E-2,1.341894176E-2,6.212229848E-2
1.173312500E0,3.031808138E-2,-2.411335148E-2,1.873098314E-2,4.302893802E-2
1.183269500E0,2.138110809E-3,-3.496173397E-2,2.929494530E-2,4.566276579E-2
1.193227500E0,-2.950699255E-2,-4.471020773E-2,3.444567323E-2,6.368806551E-2
1.203184500E0,-5.120483041E-2,-5.785317346E-2,3.239291161E-2,8.377484742E-2
1.213142500E0,-7.131107897E-2,-6.912194192E-2,3.088835068E-2,1.040057837E-1
1.223099500E0,-9.028743207E-2,-7.953117043E-2,2.930962853E-2,1.238389349E-1
1.233057500E0,-1.034287959E-1,-8.886115998E-2,3.390107304E-2,1.405101574E-1
1.243014500E0,-1.133157834E-1,-9.409932792E-2,4.083647579E-2,1.528488405E-1
1.252972500E0,-1.133504882E-1,-9.877762944E-2,4.389541224E-2,1.566274576E-1
1.262929500E0,-1.086689159E-1,-1.050712094E-1,4.483204335E-2,1.576667512E-1
1.272887500E0,-9.356410056E-2,-1.109405980E-1,4.410114139E-2,1.516804795E-1
1.282844500E0,-6.843264401E-2,-1.106673554E-1,4.335732013E-2,1.371500912E-1
1.292802500E0,-4.215504974E-2,-1.162381843E-1,4.484293610E-2,1.315266232E-1
1.302760500E0,-9.593378752E-3,-1.183258370E-1,4.788426682E-2,1.280075764E-1
1.312717500E0,2.471273392E-2,-1.189277843E-1,4.957743734E-2,1.311962628E-1
1.322675500E0,5.594602227E-2,-1.224588752E-1,4.383672774E-2,1.415902264E-1
1.332632500E0,9.113065153E-2,-1.238799989E-1,3.601308912E-2,1.579493348E-1
1.342590500E0,1.165119112E-1,-1.180071980E-1,2.989554033E-2,1.685065801E-1
1.352547500E0,1.346993446E-1,-1.118391231E-1,3.188193589E-2,1.779560640E-1
1.362505500E0,1.516447663E-1,-1.031114087E-1,3.545616567E-2,1.867759016E-1
1.372462500E0,1.594867110E-1,-9.916295111E-2,3.950881213E-2,1.919120843E-1
1.382420500E0,1.647552401E-1,-9.655172378E-2,4.244707897E-2,1.956227978E-1
1.392377500E0,1.663830578E-1,-9.256850928E-2,3.456968814E-2,1.935130853E-1
1.402335500E0,1.542819291E-1,-8.963823318E-2,3.564720601E-2,1.819578242E-1
1.412292500E0,1.392855793E-1,-8.313735574E-2,3.631134331E-2,1.662251671E-1
1.422250500E0,1.176183671E-1,-7.579741627E-2,3.922218084E-2,1.453193313E-1
1.432207500E0,8.987692744E-2,-6.997375190E-2,4.120397568E-2,1.211278484E-1
1.442165500E0,5.954192579E-2,-6.387352198E-2,4.186950624E-2,9.684071091E-2
1.452122500E0,2.463079989E-2,-5.381488055E-2,3.622451425E-2,6.938971901E-2
1.462080500E0,-6.846433505E-3,-4.570689052E-2,3.493687510E-2,5.793598826E-2
1.472037500E0,-3.029315174E-2,-3.407077864E-2,3.559053317E-2,5.783752286E-2
1.481995500E0,-4.949614033E-2,-2.998788655E-2,4.063881934E-2,7.071530870E-2
1.491953500E0,-6.184034795E-2,-2.499178797E-2,4.193548486E-2,7.878707375E-2
1.501910500E0,-6.832381338E-2,-2.238508314E-2,3.936446831E-2,8.196826695E-2
1.511868500E0,-7.185773551E-2,-1.606644690E-2,3.876173496E-2,8.321139926E-2
1.521825500E0,-6.407251209E-2,-1.069005858E-2,3.248013556E-2,7.262591386E-2
1.531783500E0,-5.508958921E-2,-4.317561630E-3,2.923668548E-2,6.251630152E-2
1.541740500E0,-3.526714817E-2,1.324877609E-3,2.863960341E-2,4.545056571E-2
1.551698500E0,-1.391809806E-2,6.275297608E-3,2.854944766E-2,3.237535753E-2
1.561655500E0,1.154997665E-2,1.166979596E-2,2.774970233E-2,3.224332610E-2
1.571613500E0,3.699799627E-2,1.153178420E-2,2.418896742E-2,4.568303755E-2
1.581570500E0,6.362215430E-2,1.538564451E-2,2.036946267E-2,6.855225440E-2
1.591528500E0,9.861946851E-2,2.098107710E-2,1.258571632E-2,1.016090814E-1
1.601485500E0,1.233514473E-1,2.462561242E-2,1.226054411E-2,1.263816493E-1
1.611443500E0,1.419643611E-1,2.470719069E-2,8.865823038E-3,1.443708000E-1
